rainfall_1h,rainfall_3h,rainfall_6h,soil_moisture,slope,elevation,river_level,temperature,flood
8.12,13.43,45.59,43.4,9.74,63.73,2.39,30.3,0
13.3,15.76,24.28,34.77,4.03,100.86,2.98,22.53,0
6.44,6.89,39.09,56.77,22.48,23.41,2.7,28.8,0
5.21,33.03,74.74,45.54,11.62,12.47,3.04,23.21,0
15.07,27.47,29.71,30.5,8.97,62.08,3.78,27.09,0
5.9,59.24,66.44,38.17,5.02,31.71,2.81,34.22,0
9.85,28.36,66.03,41.84,6.51,95.62,3.48,32.76,0
8.78,20.04,38.03,43.65,4.56,108.72,2.22,28.1,0
15.06,29.36,100.18,39.68,2.17,28.12,5.59,28.89,0
3.95,19.16,54.9,18.5,19.76,200.06,2.06,26.83,0
20.45,66.97,97.64,48.21,5.88,70.52,3.24,23.16,1
2.39,35.82,61.47,44.78,3.92,41.41,3.39,16.71,0
10.59,18.21,82.17,34.62,5.77,126.09,2.02,31.23,0
9.24,14.66,57.41,47.28,11.47,108.96,3.05,36.76,0
1.92,55.27,95.92,48.39,0.96,49.58,4.21,23.73,0
11.58,24.2,91.15,42.54,4.52,21.32,4.26,26.08,0
4.46,21.89,96.58,36.45,18.41,23.07,2.56,31.02,0
0.48,48.62,56.99,26.34,12.87,55.78,2.57,27.72,0
13.2,35.17,190.47,61.18,17.87,106.61,5.73,25.43,1
0.0,13.66,16.98,31.16,10.19,11.95,0.89,28.34,0
1.16,9.79,42.15,29.32,7.41,58.73,1.91,28.89,0
6.34,28.76,37.63,16.25,12.76,49.08,0.61,27.97,1
14.96,32.97,81.59,43.86,8.98,123.14,3.55,17.63,0
12.37,27.43,81.12,44.2,7.05,8.89,1.63,35.09,0
7.96,14.37,23.24,31.02,10.1,70.71,1.13,15.73,0
0.0,15.15,77.4,36.69,0.91,31.43,4.5,20.9,0
2.15,24.75,25.19,19.94,7.34,69.14,2.24,29.94,0
3.33,44.07,93.7,46.49,5.44,469.44,5.1,25.74,0
0.32,18.06,22.73,45.45,13.0,207.01,1.32,17.54,0
0.0,19.93,91.75,32.03,6.68,68.1,4.28,33.22,0
6.75,39.07,61.84,27.96,18.01,16.08,4.61,26.54,0
12.78,41.05,55.4,30.6,28.05,35.24,3.97,29.29,0
2.86,25.14,103.45,53.23,6.93,142.36,3.57,29.99,0
14.77,30.83,80.38,51.26,3.52,43.32,3.85,31.9,1
0.0,30.31,53.33,33.1,8.42,23.49,3.33,28.96,0
0.12,13.4,44.77,32.21,4.48,58.5,3.0,23.26,0
6.57,28.09,110.72,43.24,9.35,48.0,6.64,31.82,1
2.39,12.83,35.27,17.87,5.56,155.15,2.82,32.58,0
11.7,19.35,28.12,15.33,9.27,27.43,0.47,15.09,0
9.73,22.68,55.78,37.63,4.09,30.72,3.47,27.19,0
2.77,5.89,25.03,47.46,9.71,86.85,3.3,20.61,0
0.0,7.04,48.73,56.0,5.17,75.45,4.04,40.09,0
2.16,17.71,57.74,32.19,3.31,64.81,3.38,26.05,0
9.99,32.07,61.01,27.59,1.94,66.81,3.44,30.19,0
12.2,50.28,63.95,26.18,5.02,311.69,0.97,37.29,0
2.42,17.21,43.02,51.81,8.13,31.31,2.66,35.8,0
0.0,7.44,44.11,21.89,3.17,45.42,2.52,23.44,0
9.1,13.71,29.64,29.86,5.65,176.22,1.24,26.9,0
2.68,38.65,61.24,44.29,26.05,37.75,2.83,26.62,0
2.82,21.01,75.42,37.11,12.54,136.64,4.56,20.22,0
0.07,14.28,32.1,43.77,2.78,77.29,2.37,30.6,0
0.01,18.68,38.66,18.84,16.99,16.73,1.86,27.57,0
14.52,45.09,59.91,28.05,8.32,34.31,2.75,27.63,0
9.48,56.08,76.98,32.85,5.61,61.67,4.78,14.47,0
1.5,5.33,13.48,25.97,13.36,16.05,2.12,31.86,0
5.95,19.15,48.86,42.27,11.14,61.87,2.21,26.66,0
7.41,35.97,56.71,14.82,20.27,30.1,1.66,25.11,0
27.59,31.8,70.9,34.75,13.9,28.22,2.81,32.39,1
0.0,59.25,88.38,42.79,4.24,1200.0,4.96,35.82,0
7.29,20.35,42.32,39.83,9.46,165.47,2.34,18.28,0
14.45,79.74,135.72,41.52,10.2,128.0,7.11,28.93,0
24.83,28.35,113.97,42.39,5.4,17.93,5.22,31.21,1
1.28,36.28,56.92,35.79,13.6,20.25,5.34,27.18,0
2.61,11.28,60.73,40.35,8.18,95.5,3.46,30.22,0
11.82,28.23,52.56,48.48,17.34,8.61,3.33,25.73,0
0.0,26.2,40.31,31.11,6.58,28.32,2.92,22.46,0
8.21,41.08,80.0,43.33,5.16,28.85,2.49,38.12,0
36.49,59.53,96.52,22.63,9.01,40.61,3.21,26.73,1
9.26,24.97,68.53,33.9,7.83,135.22,3.14,24.38,0
0.0,18.35,49.03,39.28,13.66,180.8,1.92,22.21,0
0.52,92.65,119.36,54.34,9.61,94.1,3.83,23.06,1
1.41,38.42,64.46,20.01,9.61,22.43,4.0,40.71,1
17.88,24.18,76.88,36.72,5.75,24.97,4.02,26.47,1
4.13,22.19,60.64,30.31,4.96,144.06,3.9,24.05,0
0.0,24.1,59.58,45.48,8.32,102.48,3.94,33.06,0
4.92,5.7,37.05,17.01,6.53,135.68,0.2,21.65,0
6.46,46.82,64.75,40.89,3.75,25.69,1.98,32.17,0
1.99,8.99,39.15,34.82,4.38,41.44,1.64,39.68,0
0.0,9.4,64.89,42.33,13.04,148.39,1.56,26.43,0
39.81,44.86,63.08,36.42,4.6,112.63,4.53,33.2,1
14.5,49.73,65.09,40.5,2.64,113.14,3.31,40.71,1
15.83,43.05,51.22,40.32,4.26,85.69,3.13,33.98,1
4.15,40.82,90.15,33.86,5.72,33.17,5.02,23.66,0
1.21,50.52,155.27,48.55,12.18,93.5,6.01,25.53,1
2.24,22.3,119.16,51.98,36.38,66.82,4.53,26.26,0
0.0,10.7,15.48,29.68,23.82,37.18,1.34,25.98,0
27.13,47.49,64.0,17.13,14.82,35.46,4.29,21.53,1
4.43,13.75,46.6,18.79,8.12,66.26,2.1,25.65,0
21.91,47.71,107.55,55.34,26.73,55.52,6.69,26.71,1
2.49,43.88,48.68,28.81,6.68,43.75,0.66,24.95,0
9.42,16.9,26.52,9.53,9.46,57.66,1.81,32.97,0
6.94,27.45,49.42,28.15,1.36,38.07,2.28,30.27,0
0.0,15.38,30.11,37.19,5.02,79.24,1.1,31.86,0
30.17,46.48,61.77,29.98,8.63,75.61,2.12,28.97,0
2.65,37.39,63.74,47.84,10.11,79.64,2.31,27.63,0
0.0,24.43,63.86,25.78,6.61,14.87,3.39,32.76,0
11.92,25.19,38.83,35.66,16.59,28.11,1.63,24.67,0
5.31,20.06,50.99,40.85,8.49,29.06,2.26,23.51,0
8.45,26.71,57.85,36.96,5.69,18.26,3.22,34.53,0
6.11,23.42,47.32,38.66,13.52,173.19,3.69,24.8,0
0.0,18.23,27.63,45.46,13.79,67.96,0.94,28.63,0
0.4,30.85,41.01,36.87,1.25,34.31,0.46,22.97,0
0.27,5.22,24.75,12.5,12.71,35.13,1.18,23.11,0
15.6,40.27,63.16,34.75,8.96,17.57,3.65,25.19,1
5.6,32.4,90.89,44.18,6.69,14.26,3.84,24.66,1
10.08,72.72,133.21,57.48,3.89,79.7,4.26,26.76,1
2.99,18.64,57.25,37.73,5.71,372.82,3.54,30.68,0
10.65,35.0,41.66,34.31,4.09,105.85,1.83,27.47,0
4.16,38.69,90.86,46.04,3.39,59.97,4.76,27.03,0
3.68,27.63,39.62,34.48,5.84,31.58,2.19,26.64,0
6.88,8.64,49.04,24.77,15.76,49.32,1.58,23.0,0
6.11,8.18,19.21,38.65,1.89,11.88,3.97,22.93,0
50.72,65.19,100.69,34.56,4.74,51.45,5.73,21.47,1
0.37,17.44,58.37,19.88,20.55,45.63,2.96,30.79,0
0.0,22.04,45.1,35.09,3.73,18.48,3.8,26.23,0
8.23,12.76,32.84,23.82,16.15,15.66,2.08,31.5,0
0.87,28.35,49.97,34.42,8.91,81.15,1.36,32.63,0
0.0,4.61,50.14,20.26,4.33,18.63,1.78,25.38,0
41.99,65.67,94.01,41.23,6.58,258.27,4.32,31.89,1
0.28,6.68,13.57,23.91,4.79,17.58,2.4,23.56,0
0.0,26.39,48.79,31.51,3.78,106.72,4.26,33.15,0
39.83,74.5,122.39,45.82,6.07,13.96,4.0,26.36,1
0.0,8.1,68.41,33.96,7.82,78.89,3.96,20.78,0
63.34,86.72,142.85,41.4,14.79,35.01,4.17,22.47,1
2.74,22.23,47.44,21.41,4.62,45.46,2.93,21.37,0
30.28,38.0,47.72,36.74,1.21,70.57,1.61,24.31,0
3.53,7.85,33.1,23.97,7.78,29.48,3.24,25.76,0
9.48,37.39,121.06,30.52,12.45,108.42,4.88,41.16,1
4.31,60.89,70.97,31.99,4.52,84.09,1.71,31.61,0
3.58,16.82,21.82,22.31,10.32,27.66,2.46,15.3,0
7.4,9.22,22.62,23.58,0.65,21.31,0.2,28.19,0
9.89,10.67,56.94,42.62,11.11,52.94,2.53,26.22,0
6.69,24.81,41.45,23.18,2.18,76.44,2.99,35.44,0
5.79,8.94,55.46,49.5,12.91,30.46,3.09,23.69,0
0.9,3.29,107.53,42.09,9.14,58.98,3.65,24.92,0
4.59,12.12,46.27,28.6,7.98,99.44,1.2,23.05,0
27.01,54.35,64.82,46.61,4.23,77.84,1.23,27.96,1
0.73,26.33,76.44,35.81,23.83,39.33,2.64,32.68,0
7.69,36.34,168.94,47.69,4.09,152.57,4.6,27.82,0
19.92,30.35,43.48,30.16,2.15,33.63,2.99,28.32,0
9.99,21.14,30.93,63.35,7.96,11.25,1.26,17.73,1
15.77,52.18,96.42,16.0,14.28,13.11,2.6,31.48,1
0.0,12.57,43.67,32.09,7.2,41.33,3.44,30.63,0
7.71,11.92,64.4,45.32,12.3,38.22,5.36,22.48,0
3.22,11.17,157.12,54.01,2.37,42.58,4.61,26.23,0
3.49,32.5,39.27,35.11,2.05,36.01,3.26,34.59,0
24.99,48.01,76.75,44.81,2.83,38.5,4.92,16.11,1
3.59,17.85,22.62,35.53,6.39,24.68,1.29,25.31,0
8.03,10.9,23.7,26.7,18.96,88.53,1.57,33.91,0
0.0,22.87,24.96,36.32,7.2,47.45,2.4,32.47,0
